lead_id,channel,icp_category,company_annual_revenue,utm_medium,time_zone,legacy_score,state
D-00159,meta,Ideal,"$250,000 to $499,999",prospecting,Pacific,50,WA
D-00160,meta,High Value,"$10,000,000 to $24,999,999",organic social,Pacific,100,CA
D-00161,tiktok,Low Value,"$250,000 to $499,999",retargeting,Eastern,62,FL
D-00162,bing,Low Value,"$250,000 to $499,999",nonbrand,Arizona,83,AZ
D-00163,google,Ideal,"$250,000 to $499,999",brand,Eastern,24,VA
D-00164,google,Ideal,"$5,000,000 to $9,999,999",paid search,Eastern,37,NC
D-00165,bing,Low Value,"$500,000 to $999,999",paid search,Eastern,53,NC
D-00166,google,Low Value,"Less than $250,000",nonbrand,Eastern,,NJ
D-00167,meta,Ideal,"$250,000 to $499,999",prospecting,Eastern,31,NJ
D-00168,google,Unknown,"$500,000 to $999,999",cpc,Central,73,TX
D-00169,google,High Value,"$250,000 to $499,999",organic search,Mountain,100,UT
D-00170,meta,Ideal,"$1,000,000 to $4,999,999",organic social,Central,48,IL
D-00171,meta,Low Value,"Less than $250,000",brand,Pacific,31,CA
D-00172,google,Low Value,"$250,000 to $499,999",nonbrand,Eastern,35,FL
D-00173,google,High Value,"$500,000 to $999,999",nonbrand,Pacific,43,NV
D-00174,google,High Value,,brand,Central,44,TX
D-00175,google,High Value,"$250,000 to $499,999",brand,Eastern,70,MA
D-00176,google,Low Value,"Less than $250,000",nonbrand,Eastern,46,VA
D-00177,google,Low Value,"Less than $250,000",nonbrand,Pacific,34,CA
D-00178,google,Ideal,"$5,000,000 to $9,999,999",cpc,Central,66,TX
D-00179,google,Low Value,"$1,000,000 to $4,999,999",cpc,Central,14,IL
D-00180,google,Low Value,"Less than $250,000",nonbrand,Central,75,TN
D-00181,meta,Low Value,"Less than $250,000",nonbrand,Central,70,TX
D-00182,google,Ideal,"$5,000,000 to $9,999,999",organic search,Eastern,9,MA
D-00183,google,Ideal,"Less than $250,000",nonbrand,,77,
D-00184,bing,Ideal,"Less than $250,000",retargeting,Eastern,59,FL
D-00185,google,High Value,"$5,000,000 to $9,999,999",nonbrand,Pacific,38,CA
D-00186,bing,Low Value,"$1,000,000 to $4,999,999",paid search,Eastern,,NY
D-00187,google,High Value,"$5,000,000 to $9,999,999",brand,Central,28,TX
D-00188,meta,Low Value,"Less than $250,000",,Eastern,45,NC
D-00189,google,High Value,,ppc,Central,100,TX
D-00190,meta,Low Value,"$500,000 to $999,999",cpc,Central,51,TX
D-00191,bing,Ideal,"$250,000 to $499,999",cpc,Pacific,70,CA
D-00192,google,High Value,"$250,000 to $499,999",ppc,Pacific,53,OR
D-00193,google,Low Value,"Less than $250,000",brand,Eastern,56,PA
D-00194,meta,Low Value,"Less than $250,000",nonbrand,Eastern,19,NC
D-00195,google,Low Value,"$250,000 to $499,999",paid search,Pacific,56,OR
D-00196,meta,Low Value,"$250,000 to $499,999",retargeting,Eastern,4,
D-00197,google,Unknown,"Less than $250,000",ppc,Arizona,34,AZ
D-00198,google,Unknown,"$500,000 to $999,999",ppc,Pacific,0,NV
D-00199,meta,Low Value,"Less than $250,000",retargeting,Central,85,TX
D-00200,meta,Low Value,"Less than $250,000",prospecting,Arizona,11,AZ
D-00201,tiktok,Ideal,"$500,000 to $999,999",organic social,Eastern,50,NY
D-00202,tiktok,Low Value,"Less than $250,000",retargeting,Eastern,100,GA
D-00203,google,High Value,"$10,000,000 to $24,999,999",brand,Pacific,82,WA
D-00204,tiktok,Low Value,Self-Serve Signup,prospecting,Eastern,0,NY
D-00205,meta,Ideal,"Less than $250,000",organic social,Mountain,50,CO
D-00206,meta,High Value,"Less than $250,000",prospecting,Pacific,63,CA
D-00207,google,Unknown,"Less than $250,000",pmax,Eastern,64,PA
D-00208,meta,Ideal,"$250,000 to $499,999",organic social,Central,67,TN
D-00209,google,Ideal,"Less than $250,000",pmax,Mountain,96,UT
D-00210,meta,Ideal,"$250,000 to $499,999",retargeting,Pacific,0,CA
D-00211,meta,Low Value,"$250,000 to $499,999",prospecting,,,
D-00212,meta,Low Value,"$250,000 to $499,999",prospecting,Eastern,63,PA
D-00213,meta,High Value,"$250,000 to $499,999",prospecting,Eastern,100,
D-00214,google,High Value,"$5,000,000 to $9,999,999",paid search,Central,,IL
D-00215,google,Low Value,"$250,000 to $499,999",brand,Eastern,51,MA
D-00216,bing,High Value,"$500,000 to $999,999",prospecting,Arizona,93,AZ
D-00217,google,High Value,Self-Serve Signup,brand,Eastern,55,MI
D-00218,google,High Value,"$500,000 to $999,999",nonbrand,Eastern,,NY
D-00219,tiktok,Unknown,"Less than $250,000",prospecting,Eastern,20,NY
D-00220,meta,Low Value,"Less than $250,000",organic social,Eastern,0,NJ
D-00221,bing,Low Value,"$500,000 to $999,999",prospecting,Mountain,55,CO
D-00222,bing,Ideal,"Less than $250,000",ppc,Eastern,19,NJ
D-00223,meta,Low Value,"Less than $250,000",retargeting,,24,
D-00224,google,Ideal,"$1,000,000 to $4,999,999",ppc,Eastern,47,FL
D-00225,google,Low Value,,brand,Alaska,28,AK
D-00226,meta,High Value,"Less than $250,000",prospecting,Central,92,MO
D-00227,meta,Low Value,"$10,000,000 to $24,999,999",prospecting,Eastern,43,NJ
D-00228,google,Unknown,"$10,000,000 to $24,999,999",nonbrand,Pacific,86,CA
D-00229,meta,Low Value,"$10,000,000 to $24,999,999",organic social,Pacific,46,CA
D-00230,google,Ideal,"$10,000,000 to $24,999,999",brand,Eastern,74,PA
D-00231,google,Low Value,"$1,000,000 to $4,999,999",paid search,Central,29,TX
D-00232,tiktok,Ideal,"Less than $250,000",prospecting,Central,44,TN
D-00233,meta,Low Value,Self-Serve Signup,organic social,Mountain,0,UT
D-00234,bing,Unknown,"$250,000 to $499,999",brand,Eastern,41,VA
D-00235,tiktok,Low Value,"Less than $250,000",prospecting,Pacific,,OR
D-00236,google,High Value,"$5,000,000 to $9,999,999",prospecting,Central,100,TX
D-00237,google,High Value,"$1,000,000 to $4,999,999",brand,Central,100,MO
D-00238,meta,Low Value,"$1,000,000 to $4,999,999",nonbrand,Pacific,55,CA
D-00239,google,High Value,"$1,000,000 to $4,999,999",paid search,Eastern,52,MA
D-00240,meta,Low Value,"$500,000 to $999,999",organic social,Mountain,37,CO
D-00241,meta,Low Value,"$500,000 to $999,999",retargeting,Central,78,IL
D-00242,google,Low Value,"$1,000,000 to $4,999,999",cpc,Eastern,47,NY
D-00243,google,Low Value,"$500,000 to $999,999",pmax,Eastern,52,OH
D-00244,meta,Low Value,"$250,000 to $499,999",organic social,Pacific,40,CA
D-00245,bing,Ideal,"$1,000,000 to $4,999,999",nonbrand,Eastern,25,FL
D-00246,tiktok,Low Value,"$1,000,000 to $4,999,999",prospecting,Central,27,IL
D-00247,meta,Low Value,"Less than $250,000",prospecting,Arizona,17,AZ
D-00248,google,Low Value,"$1,000,000 to $4,999,999",brand,Central,34,TX
D-00249,meta,Low Value,"$250,000 to $499,999",organic social,Eastern,43,MA
D-00250,google,Unknown,"Less than $250,000",cpc,Central,38,
